No,Ability
1,Air Lock
2,Arena Trap
3,Battle Armor
4,Blaze
5,Cacophony
6,Chlorophyll
7,Clear Body
8,Cloud Nine
9,Color Change
10,Compound Eyes
11,Cute Charm
12,Damp
13,Drizzle
14,Drought
15,Early Bird
16,Effect Spore
17,Flame Body
18,Flash Fire
19,Forecast
20,Guts
21,Huge Power
22,Hustle
23,Hyper Cutter
24,Illuminate
25,Immunity
26,Inner Focus
27,Insomnia
28,Intimidate
29,Keen Eye
30,Levitate
31,Lightning Rod
32,Limber
33,Liquid Ooze
34,Magma Armor
35,Magnet Pull
36,Marvel Scale
37,Minus
38,Natural Cure
39,Oblivious
40,Overgrow
41,Own Tempo
42,Pickup
43,Plus
44,Poison Point
45,Pressure
46,Pure Power
47,Rain Dish
48,Rock Head
49,Rough Skin
50,Run Away
51,Sand Stream
52,Sand Veil
53,Serene Grace
54,Shadow Tag
55,Shed Skin
56,Shell Armor
57,Shield Dust
58,Soundproof
59,Speed Boost
60,Static
61,Stench
62,Sticky Hold
63,Sturdy
64,Suction Cups
65,Swarm
66,Swift Swim
67,Synchronize
68,Thick Fat
69,Torrent
70,Trace
71,Truant
72,Vital Spirit
73,Volt Absorb
74,Water Absorb
75,Water Veil
76,White Smoke
77,Wonder Guard
